headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
"NEW-YORK CITY.; COMMON COUNCIL PROCEEDINGS. Board of Aldermen Deaf Muto Marriage. Yellow Fever at Sea. Funeral of Dr. Swett. Illness of Rev. Dr. Lewis. Slave Trade out of the Port of New-York. Kausas Emigrants. Board of Supervisors. The Bank Forgeries. LAW INTELLIGENCE, COURT OF GENERAL SESSIONS.",1854-09-22,article,Archives,None,Archives,[],https://www.nytimes.com/1854/09/22/archives/newyork-city-common-council-proceedings-board-of-aldermen-deaf-muto.html,nyt://article/0027ff34-e73a-5a1c-88a7-a938e189ee81,
NEW-YORK CITY.; Temperance Lecture in the Big Tent. THE SEVENTH REGIMENT NATIONAL GUARD NEW-YORK - AND BROOKLYN FOREIGN MISSIONARY SOCIETY.--This society held its monthly prayer meeting. INSTITUTION FOR THE DEAF COMMON PLEAS--GENERAL TERM COMMON PLEAS-SPECIAL TERM.-Monday. MARINE COURT--MAY TERM. COURT OF GENERAL SESSIONS. UNITED STATES CIRCUIT COURT-Friday. U. S. DISTRICT COURT--Friday.,1854-06-06,article,Archives,None,Archives,[],https://www.nytimes.com/1854/06/06/archives/newyork-city-temperance-lecture-in-the-big-tent-the-seventh.html,nyt://article/79f2684c-d188-5eda-b8c2-236887733807,
Robbing a deaf mote.,1856-09-24,article,Archives,None,Archives,[],https://www.nytimes.com/1856/09/24/archives/robbing-a-deaf-mote.html,nyt://article/788f3e47-b525-58d8-8f83-65872de55873,
A Singular and Interesting Law Case--A Blind and Deaf Man appointing an Executor with a Salary.,1855-03-06,article,Archives,None,Archives,[],https://www.nytimes.com/1855/03/06/archives/a-singular-and-interesting-law-casea-blind-and-deaf-man-appointing.html,nyt://article/a5686a36-c43e-52ac-a48f-109a83265948,
"THE ANNIVERSARIES.; The Twenty-second Anniversary of the American Anti-Slavery Society. THE BLIND, THE DEAF, AND THE DUMB. THE BAPTIST BIBLE SOCIETY. Garrison, Remoud--Lucy Stone, Daniel Prait, the great American Traveler, and Independent Candidate for the Presidency, who won't flinch a Hair on Abolition. CONGREGATIONALISTS AT THE TABLE. GOUGH AT THE ACADEMY.",1856-05-09,article,Archives,None,Archives,[],https://www.nytimes.com/1856/05/09/archives/the-anniversaries-the-twentysecond-anniversary-of-the-american.html,nyt://article/e5499ea0-99fa-535a-aff9-947adaad9091,
The Pupils of the New-York Deaf and Damb Institution.,1856-04-02,article,Archives,None,Archives,[],https://www.nytimes.com/1856/04/02/archives/the-pupils-of-the-newyork-deaf-and-damb-institution.html,nyt://article/e75de78e-d238-50a2-8c30-98ee262de394,
Testimony of History Against Depreciation.,1862-02-12,article,Archives,None,Archives,['Currency'],https://www.nytimes.com/1862/02/12/archives/testimony-of-history-against-depreciation.html,nyt://article/00853112-8508-58e1-9c05-8fcb52b1b558,
MILITARY AND NAVEL MOVEMENTS.,1861-05-13,article,Archives,None,Archives,[],https://www.nytimes.com/1861/05/13/archives/military-and-navel-movements.html,nyt://article/0171530c-b0ea-56c6-9d11-b0a0497ad749,
THE TEMPORAL POWER OF THE POPE.; The Italian Question as it Affects the States of the Church. A SERMON BY ARCHBISHOP HUGHES. He Calls for Material Aid.,1860-07-02,article,Archives,None,Archives,[],https://www.nytimes.com/1860/07/02/archives/the-temporal-power-of-the-pope-the-italian-question-as-it-affects.html,nyt://article/0184b841-28e4-5f26-b33e-6d79a5cfe4a9,
NEW TESTIMONIALS.; Catarrh Cured.,1864-11-12,article,Archives,None,Archives,[],https://www.nytimes.com/1864/11/12/archives/new-testimonials-catarrh-cured.html,nyt://article/01af7a97-2145-5bc9-b736-9b76561dd5cd,
