headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
THE DEAF AND DUMB WAITER.,1885-12-03,article,Archives,None,Archives,[],https://www.nytimes.com/1885/12/03/archives/the-deaf-and-dumb-waiter.html,nyt://article/0074c23c-1ff6-5bc7-85d9-e56a5af3d186,
Chad Threatens to Expel Sudanese Refugees,2006-04-14,article,News,International,World,[],https://www.nytimes.com/2006/04/14/world/chad-threatens-to-expel-sudanese-refugees.html,nyt://article/00bb19d7-2ba6-5072-8e6b-3159730ddfc1,By Marc Lacey
WELFARE HOTEL CHILDREN: TOMORROW'S POOR,1987-07-16,article,News,Metropolitan Desk,New York,"['Homeless Persons', 'HOTELS AND MOTELS', 'Children and Youth', 'Mental Health and Disorders']",https://www.nytimes.com/1987/07/16/nyregion/welfare-hotel-children-tomorrow-s-poor.html,nyt://article/01670df3-ae07-5eb6-8862-7bd834bff318,By Lydia Chavez
Wal-Mart Says Oil Prices Held Down Profits for Quarter,2005-08-16,article,News,Business,Business Day,['Company Reports'],https://www.nytimes.com/2005/08/16/business/walmart-says-oil-prices-held-down-profits-for-quarter.html,nyt://article/0175ac61-cc62-5cdc-923c-f5efb8ec15be,By Roben Farzad
"A Space Force? The Idea May Have Merit, Some Say",2018-06-23,article,News,Washington,U.S.,"['Space and Astronomy', 'United States Defense and Military Forces', 'Satellites', 'United States Politics and Government']",https://www.nytimes.com/2018/06/23/us/politics/trump-space-force-military.html,nyt://article/01b8b8a5-7d0c-592a-a283-a9ccd3d88de1,By Helene Cooper
NEW-YORK CITY.; Union of the Liberal Societies. Midnight Robberies in the Park. Fire and Rowdyism. The Deaf and Dumb. THE COURTS. DISPENSARY REPORTS. DETERMINED EFFORTS TO COMMIT SUICIDE AT COUP DE SOLIEL. CENSUS OF HOBOKEN.,1854-07-06,article,Archives,None,Archives,[],https://www.nytimes.com/1854/07/06/archives/newyork-city-union-of-the-liberal-societies-midnight-robberies-in.html,nyt://article/027c2e43-cb25-52ab-9eee-038733255534,
Deaf and Dumb at Intervals.,1896-09-06,article,Archives,None,Archives,[],https://www.nytimes.com/1896/09/06/archives/deaf-and-dumb-at-intervals.html,nyt://article/02812482-a829-5351-b560-31a87b647355,
Singular Calamity Two Men Made Deaf and Dumb.,1872-09-14,article,Archives,None,Archives,[],https://www.nytimes.com/1872/09/14/archives/singular-calamity-two-men-made-deaf-and-dumb.html,nyt://article/0306dfe0-5f53-503c-a929-8cb544974758,
The Tongues the Stranger Spoke Were Twisted,2001-06-23,article,Text,Arts & Ideas/Cultural Desk,Books,['Books and Literature'],https://www.nytimes.com/2001/06/23/books/the-tongues-the-stranger-spoke-were-twisted.html,nyt://article/032f50b8-80c3-53a2-aa68-c6983cdbef00,
Losing Our Edge?,2004-04-22,article,Op-Ed,Editorial Desk,Opinion,"['Relocation of Business', 'Tax Deductions', 'Science and Technology']",https://www.nytimes.com/2004/04/22/opinion/losing-our-edge.html,nyt://article/0345db5b-99f1-5dc0-8a01-698d31ed6dd2,By Thomas L. Friedman
MISCELLANEOUS.; A NOVEL SHIP-OF-WAR.,1864-10-09,article,Archives,None,Archives,['FOREIGN'],https://www.nytimes.com/1864/10/09/archives/miscellaneous-a-novel-shipofwar.html,nyt://article/03b9f824-9944-526a-9e88-cd15ecf639a7,From the London Times
School for Deaf Mutes.,1861-04-04,article,Archives,None,Archives,[],https://www.nytimes.com/1861/04/04/archives/school-for-deaf-mutes.html,nyt://article/03d8bd5b-cb34-5469-af5e-0d57e7e93dc5,
"It’s ‘Sisi-Mania,’ as Nationalist Fervor Sweeps Through Egypt",2013-10-26,article,News,,Blogs,[],https://thelede.blogs.nytimes.com/2013/10/25/its-sisi-mania-as-nationalist-fervor-sweeps-through-egypt/,nyt://article/03f4a129-4bb5-5d78-a041-524b37bbfbe1,By Liam Stack
"THE VIEW FROM: THE AMERICAN SCHOOL FOR THE DEAF;
Flagship School Prepares The Deaf for a Hearing World",1988-04-17,article,News,Connecticut Weekly Desk,New York,['Deafness'],https://www.nytimes.com/1988/04/17/nyregion/the-view-from-the-american-school-for-the-deaf-flagship-school.html,nyt://article/0436b734-ab2e-5c0b-8032-fefaeee04797,By Jacqueline Weaver
