headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Revisiting Decades With a Pioneer,2003-09-07,article,News,Sports Desk,Sports,"['STRIPED BASS', 'Fishing, Sport', 'Fish and Other Marine Life']",https://www.nytimes.com/2003/09/07/sports/outdoors-revisiting-decades-with-a-pioneer.html,nyt://article/014f28b0-b192-526b-bad5-2299f8ae3560,By Pete Bodo
"Goodbye, Mr. Stewart",1997-07-05,article,Op-Ed,Editorial Desk,Opinion,[],https://www.nytimes.com/1997/07/05/opinion/goodbye-mr-stewart.html,nyt://article/01558194-80d5-5d57-90de-e0daa725d5a0,By John Gregory Dunne
Girl Scouts Are Tracking New Course,1978-01-22,article,Archives,None,Archives,[],https://www.nytimes.com/1978/01/22/archives/westchester-weekly-girl-scouts-are-tracking-new-course-countys-girl.html,nyt://article/099c68a1-61a2-5c21-a911-6c0ea7d44f1b,By Jean D. Peale
Variety: An Upside Down Acrostic,2015-12-12,article,News,Business,Crosswords & Games,"['Acrostic Puzzles', 'Crossword Puzzles']",https://wordplay.blogs.nytimes.com/2015/12/12/variety-an-upside-down-acrostic/,nyt://article/1b7b02cb-8890-5f18-832e-d04ee6370b2c,By Deb Amlen
DENHOLM ELLIOT GOES RIGHT ON STEALING THE SCENE,1986-07-20,article,News,Arts and Leisure Desk,Movies,"['MOTION PICTURES', 'Theater']",https://www.nytimes.com/1986/07/20/movies/denholm-elliot-goes-right-on-stealing-the-scene.html,nyt://article/5344db6b-cce6-5210-993a-b7e2860fed63,By Nan Robertson
"Outdoors: With Deer, Focus Is Crucial",1990-11-26,article,News,Sports Desk,Sports,"['Hunting and Trapping', 'Deer']",https://www.nytimes.com/1990/11/26/sports/outdoors-with-deer-focus-is-crucial.html,nyt://article/5c81bc58-9ecc-5814-a612-3d1de287e024,By Nelson Bryant
The Dead and the Naked,2007-09-30,article,Series,Magazine,Magazine,['Art'],https://www.nytimes.com/2007/09/30/magazine/30funny-serial-t.html,nyt://article/607edc47-2f0d-5085-af88-126242d17065,By CATHLEEN SCHINE
"That Extra Musical Ingredient, Fright",1999-06-01,article,News,The Arts/Cultural Desk,Arts,['Music'],https://www.nytimes.com/1999/06/01/arts/critic-s-notebook-that-extra-musical-ingredient-fright.html,nyt://article/65d914a7-fcc9-55f0-bf74-3a194aee2ec6,By Bernard Holland
Martin Gardner’s Favorite Funny Quickies,2016-03-28,article,News,Business,Crosswords & Games,"[""APRIL FOOL'S DAY"", 'Hoaxes and Pranks', 'Mathematics', 'Puzzles']",https://wordplay.blogs.nytimes.com/2016/03/28/gardner-funny-quickies/,nyt://article/6b8196e5-1c1f-556f-bd07-75444321cadf,By Gary Antonick
Outdoors: A Change in Dinner Plans,1988-11-07,article,News,Sports Desk,Sports,"['Hunting and Trapping', 'Grouse (Bird)']",https://www.nytimes.com/1988/11/07/sports/outdoors-a-change-in-dinner-plans.html,nyt://article/7f4ec2c3-17ec-57c6-829b-3c9f52be86a6,By Nelson Bryant
"IT'S YOUR MOVE, CHARLEMAGNE",1989-01-15,article,Review,Book Review Desk,Books,['BOOK REVIEWS'],https://www.nytimes.com/1989/01/15/books/it-s-your-move-charlemagne.html,nyt://article/8fbc442c-10a9-5e4b-89ef-326eb81f5f35,By Florence King
GLEANINGS FROM THE MAILS; DEAF AS A POST. DISADVANTAGES AND COMPENSATIONS OF DULL HEARING.,1879-05-13,article,Archives,None,Archives,['Deafness'],https://www.nytimes.com/1879/05/13/archives/gleanings-from-the-mails-deaf-as-a-post-disadvantages-and.html,nyt://article/a047ac7f-cd2b-5ca1-87b7-83c5b56de5b1,
"Keep It Down, Ludwig!",1994-05-22,article,Review,Book Review Desk,Books,['BOOK REVIEWS'],https://www.nytimes.com/1994/05/22/books/children-s-books-keep-it-down-ludwig.html,nyt://article/a530fac2-9c5f-50ae-b39a-1d0eae4189d3,By John Rockwell
He’s 106. And Knows the Score.,2016-11-07,article,News,Sports,Sports,"['Football (College)', 'Statistics', 'Longevity']",https://www.nytimes.com/2016/11/07/sports/ncaafootball/106-centenarian-john-risher-university-of-virginia.html,nyt://article/b1d13224-740d-54bf-a0f2-6ee676404795,By Louie Lazar
Just-High-Enough Art,2002-07-07,article,News,Magazine Desk,Magazine,"['MOTION PICTURES', 'Biographical Information', 'Theater']",https://www.nytimes.com/2002/07/07/magazine/just-high-enough-art.html,nyt://article/b6c59530-ce97-543b-9d91-e8ed7457fabc,By Lynn Hirschberg
