headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
How ‘Survivor’ Failed Its #MeToo Test,2019-12-12,article,News,Culture,Arts,"['Television', '#MeToo Movement', 'Sexual Harassment']",https://www.nytimes.com/2019/12/12/arts/television/survivor-dan-spilo.html,nyt://article/8194cdbb-b95b-5d67-b168-882afc37e35e,By James Poniewozik
Who’s Next? Roger Daltrey,2018-11-30,article,Review,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2018/11/30/books/review/thanks-a-lot-mr-kibblewhite-roger-daltrey.html,nyt://article/94356548-2144-5d3b-8bba-bb8fa8875a74,By James Parker
Rock-Your-World Moments Fill New Music Memoirs From Tina Turner and a Disillusioned Hit Maker,2018-11-30,article,Review,BookReview,Books,"['Books and Literature', 'Pop and Rock Music']",https://www.nytimes.com/2018/11/30/books/review/tina-turner-my-story-dorothy-carvello-anything-hit.html,nyt://article/39ba7067-1f54-57fe-9dd9-d5f291308871,By Evelyn McDonnell
Pence Advances Plan to Create a Space Force,2018-08-09,article,News,Washington,U.S.,"['United States Politics and Government', 'United States Defense and Military Forces', 'Space and Astronomy', 'Satellites']",https://www.nytimes.com/2018/08/09/us/politics/trump-pence-space-force.html,nyt://article/3a091edc-5492-50dc-b3a6-5b1300b34c62,By Helene Cooper
"A Space Force? The Idea May Have Merit, Some Say",2018-06-23,article,News,Washington,U.S.,"['Space and Astronomy', 'United States Defense and Military Forces', 'Satellites', 'United States Politics and Government']",https://www.nytimes.com/2018/06/23/us/politics/trump-space-force-military.html,nyt://article/01b8b8a5-7d0c-592a-a283-a9ccd3d88de1,By Helene Cooper
Meeting the Greats in ‘Vanity Fair’s Writers on Writers’,2016-12-02,article,Review,BookReview,Books,"['Books and Literature', 'Writing and Writers']",https://www.nytimes.com/2016/12/02/books/review/vanity-fair-writers-on-writers-graydon-carter.html,nyt://article/a642b4b7-60e4-5241-be70-aa03e65c7b07,By Matthew Schneier
"Keeping Bankers’ Hours, European Observers Miss Most of Ukraine War",2016-07-27,article,News,Foreign,World,['International Relations'],https://www.nytimes.com/2016/07/28/world/europe/ukraine-war-osce-observers.html,nyt://article/92dcaf97-965d-5829-a51b-33adb1581e10,By Andrew E. Kramer
The Real Rough-Talking Priest Behind ‘On the Waterfront’,2015-06-26,article,Question,Metro,New York,"['Movies', 'Frauds and Swindling']",https://www.nytimes.com/2015/06/28/nyregion/the-real-rough-talking-priest-behind-on-the-waterfront.html,nyt://article/498f116e-8559-5103-8763-82eae9b6fb90,By Michael Pollak
"Carolyn Kizer, Pulitzer-Winning Poet, Dies at 89",2014-10-11,article,Obituary (Obit),Culture,Arts,"['Deaths (Obituaries)', 'Poetry and Poets', 'Pulitzer Prizes', 'Writing and Writers']",https://www.nytimes.com/2014/10/11/arts/artsspecial/carolyn-kizer-pulitzer-winning-poet-dies-at-89.html,nyt://article/494b9719-1556-54c4-a66d-220cdd538e13,By Margalit Fox
Rain Cuts Short Once-in-a-Generation Performance of ‘Hommy’,2014-07-24,article,News,Culture,Arts,['Music'],https://artsbeat.blogs.nytimes.com/2014/07/24/rain-cuts-short-once-in-a-generation-performance-of-hommy/,nyt://article/a9e3296c-37ad-5bff-a87b-46ed48fe02bc,By Jon Pareles
"It’s ‘Sisi-Mania,’ as Nationalist Fervor Sweeps Through Egypt",2013-10-26,article,News,,Blogs,[],https://thelede.blogs.nytimes.com/2013/10/25/its-sisi-mania-as-nationalist-fervor-sweeps-through-egypt/,nyt://article/03f4a129-4bb5-5d78-a041-524b37bbfbe1,By Liam Stack
Is $75 Million in Venture Capital an Advantage?,2013-06-19,article,News,,Business Day,"['Entrepreneurship', 'Small Business', 'Start-ups', 'Venture Capital']",https://boss.blogs.nytimes.com/2013/06/19/is-50-million-in-venture-capital-an-advantage/,nyt://article/c8197ef2-8187-5771-ac10-ebbbd65c8212,By Ian Mount
Chinese Media Decry Western Interference in Chen Case,2012-05-03,article,News,,World,"['Human Rights and Human Rights Violations', 'United States Defense and Military Forces', 'United States International Relations']",https://rendezvous.blogs.nytimes.com/2012/05/03/chinese-media-decry-western-interference-in-chen-case/,nyt://article/fda28b22-809e-51e2-b8ce-97fd745751f9,By Mark McDonald
"100, 75, 50 Years Ago",2012-01-29,article,News,Editorial,Opinion,[],https://www.nytimes.com/2012/01/30/opinion/100-75-50-years-ago.html,nyt://article/5b43c924-dcfa-571b-a3cd-68b93d18faef,
