headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Reaching an Autistic Teenager,2008-10-17,article,News,Magazine,Magazine,"['Education and Schools', 'Autism', ""Asperger's Syndrome"", 'Teenagers and Adolescence']",https://www.nytimes.com/2008/10/19/magazine/19Autism-t.html,nyt://article/00811309-faab-59e6-afa2-6e32c7bd21b5,By Melissa Fay Greene
Israeli Role in Gaza Strip Is to Expand,2004-10-04,article,News,Foreign Desk,World,"['International Relations', 'Palestinians']",https://www.nytimes.com/2004/10/04/world/middleeast/israeli-role-in-gaza-strip-is-to-expand.html,nyt://article/00965eef-e891-5b22-a69e-88c35f7137d8,By Greg Myre
125 DEAF-MUTES PRAISED; Honored at Louisville Plant That Gets Army-Navy Flag,1943-04-29,article,Archives,None,Archives,['DEAFNESS AND DEAF MUTES'],https://www.nytimes.com/1943/04/29/archives/125-deafmutes-praised-honored-at-louisville-plant-that-gets.html,nyt://article/01482a2c-17da-5a7e-8ae1-d408dd66fe36,Special to THE NEW YORK TIMES
"A Groundbreaking Show Presents a New, Inclusive Vision of American Art",2018-02-15,article,Review,Weekend,Arts,"['Art', 'Quilts']",https://www.nytimes.com/2018/02/15/arts/design/outliers-and-american-vanguard-art-review-national-gallery-of-art.html,nyt://article/01e04328-cffb-597f-8403-f035bf5fad8e,By Roberta Smith
‘Fargo’ Recap: Boots on the Ground,2014-04-23,article,News,Culture,Arts,[],https://artsbeat.blogs.nytimes.com/2014/04/22/fargo-recap-what-sets-molly-apart/,nyt://article/01fb8c5f-9aa5-50d5-a0c0-0aa1084bed80,By Kate Phillips
Books of The Times,1974-04-30,article,Archives,None,Archives,[],https://www.nytimes.com/1974/04/30/archives/books-of-the-times-getting-drunk-on-harry-crews.html,nyt://article/02015502-65b5-5ea3-8b27-66f66a7410bc,
"Lorenza Mazzetti, Wartime Survivor and Seminal Filmmaker, Dies at 92",2020-01-16,article,Obituary (Obit),Obits,Arts,"['Movies', 'Deaths (Obituaries)', 'Writing and Writers', 'World War II (1939-45)']",https://www.nytimes.com/2020/01/16/arts/lorenza-mazzetti-dead.html,nyt://article/024d311f-910f-52c7-9c8d-6524fe524cce,By Shelley Boettcher
WHAT DEAF-MUTES CAN DO.; EXHIBITION OF CLASS WORK BY PUPILS OF THE NEW-YORK INSTITUTE.,1886-05-19,article,Archives,None,Archives,[],https://www.nytimes.com/1886/05/19/archives/what-deafmutes-can-do-exhibition-of-class-work-by-pupils-of-the.html,nyt://article/02ba82ff-b3cb-55a8-b55f-cec85fd4e0c4,
A CONGRESS OF DEAF-MUTES.; In Paris Next Year -- Americans Asked to Form a Sub-Committee.,1899-06-30,article,Archives,None,Archives,[],https://www.nytimes.com/1899/06/30/archives/a-congress-of-deafmutes-in-paris-next-year-americans-asked-to-form.html,nyt://article/02edc563-136a-5734-b676-258abfeaaaf3,
ASSORTED MURDERS,1983-05-01,article,Review,Book Review Desk,Books,"['BOOK REVIEWS', 'Books and Literature']",https://www.nytimes.com/1983/05/01/books/assorted-murders.html,nyt://article/033ce4ba-0019-5f25-aa5d-3b3dd304ebfc,By Jonathan Coleman
Conference of Deaf-Mutes at Syracuse.,1900-08-25,article,Archives,None,Archives,[],https://www.nytimes.com/1900/08/25/archives/conference-of-deafmutes-at-syracuse.html,nyt://article/03540eae-bcfd-5781-8d1e-8754207d73fb,
MOVIES: CRITIC'S CHOICE,2003-09-21,article,News,Television,Arts,[],https://www.nytimes.com/2003/09/21/tv/movies-critic-s-choice.html,nyt://article/036d121e-8653-559d-af91-7b03bb99040e,By Neil Genzlinger
Americans Sweep Prizes at Cannes Fete,1971-05-28,article,Archives,None,Archives,"['MOTION PICTURES', 'Festivals']",https://www.nytimes.com/1971/05/28/archives/americans-sweep-prizes-at-cannes-fete.html,nyt://article/037fdc39-b290-5485-827d-c097b02c6692,By Cynthia Grenier Special to The New York Times
Mute Wins Right to Enter a Speech Contest,1992-11-12,article,News,National Desk,U.S.,"['RECORDINGS (VIDEO)', 'Sign Language', 'Speech']",https://www.nytimes.com/1992/11/12/us/mute-wins-right-to-enter-a-speech-contest.html,nyt://article/03a469e3-1858-531a-aa84-bf462b57f206,
MISCELLANEOUS.; A NOVEL SHIP-OF-WAR.,1864-10-09,article,Archives,None,Archives,['FOREIGN'],https://www.nytimes.com/1864/10/09/archives/miscellaneous-a-novel-shipofwar.html,nyt://article/03b9f824-9944-526a-9e88-cd15ecf639a7,From the London Times
Television; Morning 5:30 (4)Modern Farmer,1975-09-27,article,Archives,None,Archives,[],https://www.nytimes.com/1975/09/27/archives/television.html,nyt://article/03bd48fd-4e88-5883-ad1e-c6a5e0e2b706,
School for Deaf Mutes.,1861-04-04,article,Archives,None,Archives,[],https://www.nytimes.com/1861/04/04/archives/school-for-deaf-mutes.html,nyt://article/03d8bd5b-cb34-5469-af5e-0d57e7e93dc5,
