headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
What Is Celebrity?,2020-09-14,multimedia,Interactive Feature,Style,Style,[],https://www.nytimes.com/interactive/2020/09/14/style/most-famous-people-in-america.html,nyt://interactive/28a39bd2-4203-56e8-9242-b243d8600cb8,
New in Paperback: ‘Find Me’ and ‘The Revisioners’,2020-08-14,article,List,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2020/08/14/books/review/new-paperbacks.html,nyt://article/2b159c55-4b6c-5e30-ad6e-534f5b5d380f,By Jennifer Krauss
"Exploring What Disability Means Today, and Could Mean Tomorrow",2020-07-20,article,News,Summary,Times Insider,"['Disabilities', 'AMERICANS WITH DISABILITIES ACT']",https://www.nytimes.com/2020/07/20/insider/disability-ADA.html,nyt://article/564d42a1-7a78-5baf-ab89-4b6c4ae7e8a9,By Amisha Padnani and Dan Sanchez
What the A.D.A. Means to Me,2020-07-20,article,News,SpecialSections,U.S.,"['AMERICANS WITH DISABILITIES ACT', 'Disabilities', 'Discrimination', 'Suits and Litigation (Civil)', 'Braille', 'Blindness']",https://www.nytimes.com/2020/07/20/us/judy-heumann-alice-wong-haben-girma-disability-activists.html,nyt://article/d789bcee-3bd3-5156-ab9a-c2b2559a67eb,
"For the Deaf, Social Distancing Can Mean Social Isolation",2020-06-04,article,News,Express,U.S.,"['Deafness', 'Blindness', 'Sign Language', 'Senses and Sensation', 'Masks', 'Protective Clothing and Gear', 'Anxiety and Stress', 'Coronavirus (2019-nCoV)', 'Quarantines']",https://www.nytimes.com/2020/06/04/us/coronavirus-deaf-culture-challenges.html,nyt://article/d88352c6-cfe3-5f1c-bebd-a1bcc8fa2c1d,By Derrick Bryson Taylor
Surging Coronavirus Caseloads Put Strongmen on the Back Foot,2020-06-04,article,News,Foreign,World,['Coronavirus (2019-nCoV)'],https://www.nytimes.com/2020/06/04/world/coronavirus-us-update.html,nyt://article/c0cee1c3-c094-590e-9edc-b53d26ac54c1,
She Went Blind. Then She Danced.,2020-03-14,article,Op-Ed,OpEd,Opinion,"['Eyes and Eyesight', 'Disabilities', 'Blindness', 'Dancing']",https://www.nytimes.com/2020/03/14/opinion/sunday/blind-dance.html,nyt://article/4c411868-2a46-5299-ac68-71a6a3fbfe14,By Frank Bruni and Damon Winter
Over 140 Confirmed Cases of Coronavirus in New York State,2020-03-10,article,briefing,Metro,New York,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Blindness', 'Deafness', 'Movies']",https://www.nytimes.com/2020/03/10/nyregion/coronavirus-nyc.html,nyt://article/d1eb0596-1096-5546-8c9f-249c39abbe81,By Azi Paybarah
A Deaf-Blind Dishwasher Achieves His Childhood Dream: Movie Actor,2020-03-07,article,News,Metro,New York,"['Deafness', 'Blindness', 'Movies']",https://www.nytimes.com/2020/03/07/nyregion/deaf-blind-actor-feeling-through.html,nyt://article/f61f5ee4-c07d-5be1-add2-f2a72373e6ca,By Corey Kilgannon
"Sands Point, N.Y.: A Fairy-Tale Village, for Those Who Can Afford It",2019-12-11,article,News,RealEstate,Real Estate,['Real Estate and Housing (Residential)'],https://www.nytimes.com/2019/12/11/realestate/sands-point-ny-a-fairy-tale-village-for-those-who-can-afford-it.html,nyt://article/6364c85e-490f-5631-856a-e167988c6e3d,By Julie Lasky
"Giannis Antetokounmpo Is Called Amazing. Now in Sign Language, Too.",2019-11-29,article,News,Sports,Sports,"['Basketball', 'Sign Language', 'Deafness', 'Translation and Interpreters']",https://www.nytimes.com/2019/11/29/sports/milwaukee-bucks-sign-language.html,nyt://article/a0ecdf93-63e3-5431-9824-5c4a126558fe,By Scott Cacciola
Could Architecture Help You Live Forever?,2019-08-20,article,News,TStyle,T Magazine,"['Art', 'ARCHITECTURE']",https://www.nytimes.com/2019/08/20/t-magazine/reversible-destiny-arakawa-madeline-gins.html,nyt://article/1cb329a6-b17f-5707-a311-9cefe8e34e47,By Marie Doezema
"New & Noteworthy, From Prince Albert to a Bird’s-Eye View of the Apocalypse",2019-08-06,article,News,BookReview,Books,['Books and Literature'],https://www.nytimes.com/2019/08/06/books/review/new-this-week.html,nyt://article/9ebf6f80-9f85-57f3-bf31-28995bb3cfee,
‘We Will Not Be Exorcised’,2019-06-15,article,Op-Ed,OpEd,Opinion,"['Poetry and Poets', 'Books and Literature', 'Disabilities']",https://www.nytimes.com/2019/06/15/opinion/disabled-poets-new-work.html,nyt://article/e4170bae-6e58-5b33-b44a-e337680fe9aa,By Khadijah Queen and Jillian Weise
Otto Warmbier’s Mother Likens North Korea to ‘Absolute Evil’,2019-05-04,article,News,Express,U.S.,"['United States International Relations', 'Political Prisoners', 'Deaths (Fatalities)']",https://www.nytimes.com/2019/05/03/us/otto-warmbier-mom-north-korea.html,nyt://article/8fab8197-46bd-5448-975c-9d73d8fd4cc8,By Mihir Zaveri
When Does Free Speech Become Uncomfortable?,2019-04-12,article,News,Foreign,World,"['Politics and Government', 'Freedom of Speech and Expression', 'Veganism']",https://www.nytimes.com/2019/04/11/world/australia/protest-free-speech-vegan-preacher.html,nyt://article/770b18fc-1aee-5e1f-b200-70b0158cbaa8,By Isabella Kwai
"Responding to Trump, Otto Warmbier’s Parents Blame Kim Jong-un and ‘Evil Regime’ for Son’s Death",2019-02-28,article,News,Express,World,"['Detainees', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Human Rights and Human Rights Violations', 'Torture']",https://www.nytimes.com/2019/02/28/world/asia/trump-otto-warmbier.html,nyt://article/9562c7c8-1188-578e-bb24-a8ab4446a28e,By Christine Hauser
A Rising Threat to Pregnant Women: Syphilis,2019-01-21,article,News,Science,Health,"['Syphilis', 'Sexually Transmitted Diseases', 'Pregnancy and Childbirth', 'Babies and Infants', 'Bacteria']",https://www.nytimes.com/2019/01/21/health/syphilis-women-pregnancy.html,nyt://article/8c19acc4-a56d-51b1-b272-26823447c08a,By Nicholas Bakalar
North Korea Is Ordered to Pay Otto Warmbier’s Family Over $501 Million in Damages,2018-12-24,article,News,Express,U.S.,"['United States International Relations', 'Deaths (Fatalities)', 'Human Rights and Human Rights Violations', 'Torture', 'Suits and Litigation (Civil)']",https://www.nytimes.com/2018/12/24/us/otto-warmbier-north-korea.html,nyt://article/135b3936-d4f7-5055-9c15-344652704570,By Matthew Haag
France Suspends Fuel Tax Increase That Spurred Violent Protests,2018-12-04,article,News,Foreign,World,"['Yellow Vests Movement', 'Demonstrations, Protests and Riots', 'Taxation', 'Politics and Government']",https://www.nytimes.com/2018/12/04/world/europe/france-fuel-tax-yellow-vests.html,nyt://article/24b9c46d-f728-5f5c-8293-27162334b446,By Adam Nossiter
New York Today: Improving N.J. Transit,2018-10-10,article,briefing,Metro,New York,[],https://www.nytimes.com/2018/10/10/nyregion/new-york-today-improving-nj-transit.html,nyt://article/6cb7e3f7-8f25-5273-b4c0-88e09924e8af,By Jonathan Wolfe
New York City to Help Small Theaters Be More Accessible,2018-10-09,article,News,Culture,Theater,"['Theater', 'Deafness', 'Blindness', 'Handheld Computers']",https://www.nytimes.com/2018/10/09/theater/new-york-city-theaters-accessible.html,nyt://article/8706385d-aad2-509e-91e8-4ce2b632daab,By Michael Paulson
Women Might Save America Yet,2018-07-03,article,Op-Ed,OpEd,Opinion,"['United States Politics and Government', 'Women and Girls', 'Health Insurance and Managed Care', 'Medicaid', 'Patient Protection and Affordable Care Act (2010)', 'Midterm Elections (2018)']",https://www.nytimes.com/2018/07/02/opinion/women-democratic-party-grassroots-trump.html,nyt://article/c15361a3-4419-571d-b3ac-2f8a650fdb95,By Michelle Goldberg
"Supreme Court, Capital Gazette, ‘Sicario’: Your Friday Briefing",2018-06-29,article,briefing,NYTNow,Briefing,[],https://www.nytimes.com/2018/06/29/briefing/supreme-court-capital-gazette-sicario.html,nyt://article/130093a9-4cf8-527a-90b3-c04c9e8b1bce,By Chris Stanford
"The Week in Good News: A Helpful Teenager, the Belize Barrier Reef, Bird-Watching",2018-06-28,article,News,NewsDesk,Briefing,[],https://www.nytimes.com/2018/06/28/briefing/week-in-good-news-belize-barrier-reef-bird-watching.html,nyt://article/ae062447-52ae-502c-b2de-8276d6df593c,By Des Shoe
Blind Pedestrians Sue the City to Improve Crosswalk Safety,2018-06-27,article,News,Metro,New York,"['Blindness', 'Suits and Litigation (Civil)']",https://www.nytimes.com/2018/06/27/nyregion/blind-pedestrians-lawsuit.html,nyt://article/130a92b4-18e5-5666-bd8b-c59a1a3bbce3,By Aaron Robertson
Teenage Girl Helps a Blind and Deaf Passenger and Wins Praise for Doing ‘Something Beautiful’,2018-06-24,article,News,Express,U.S.,"['Deafness', 'Blindness', 'Sign Language', 'AIRLINES AND AIRPLANES']",https://www.nytimes.com/2018/06/24/us/teenager-alaska-airlines-sign-language.html,nyt://article/7bf1530e-7df2-5bbc-9320-4ccc76446803,By Christina Caron
"Clarence Fountain, 88, Dies; Led the Blind Boys of Alabama",2018-06-06,article,Obituary (Obit),National,Obituaries,"['Deaths (Obituaries)', 'Gospel Music', 'Pop and Rock Music']",https://www.nytimes.com/2018/06/06/obituaries/clarence-fountain-88-dies-led-the-blind-boys-of-alabama.html,nyt://article/127aea2e-98a9-54d3-90f3-657ddffc2bb4,By Daniel E. Slotnik
Disability and Civil Rights Groups Sue DeVos Over Investigation Rollbacks,2018-05-31,article,News,Washington,U.S.,"['Suits and Litigation (Civil)', 'Colleges and Universities', 'Civil Rights and Liberties', 'United States Politics and Government', 'Blindness', 'Intellectual Disabilities']",https://www.nytimes.com/2018/05/31/us/politics/devos-education-civil-rights-lawsuit.html,nyt://article/90f8665b-c576-5129-9768-cb307df5af93,By Erica L. Green
DeVos Education Dept. Begins Dismissing Civil Rights Cases in Name of Efficiency,2018-04-20,article,News,Washington,U.S.,"['Civil Rights and Liberties', 'Colleges and Universities', 'United States Politics and Government', 'Disabilities', 'Discrimination']",https://www.nytimes.com/2018/04/20/us/politics/devos-education-department-civil-rights.html,nyt://article/be8a58e7-dab9-5131-86a2-4935e7a8262b,By Erica L. Green
"When Life Gave Me Lemons, I Had a Panic Attack",2018-01-24,article,Op-Ed,OpEd,Opinion,"['Anxiety and Stress', 'Disabilities', 'Mental Health and Disorders']",https://www.nytimes.com/2018/01/24/opinion/panic-disorder-disability.html,nyt://article/7859aa6c-4ab4-555f-9460-30f306876e56,By Gila Lyons
