headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Lorne Michaels Isn’t Sure ‘S.N.L.’ Can Pull This Off,2020-09-24,article,News,Culture,Arts,"['Television', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/09/24/arts/television/lorne-michaels-saturday-night-live-chris-rock.html,nyt://article/27cbb93f-61a2-57b4-b9cd-de18b714d53c,By Dave Itzkoff
Inside a Nursing Home Devoted to Treating Those With Covid-19,2020-09-15,article,News,National,U.S.,"['Coronavirus (2019-nCoV)', 'Nursing Homes', 'Native Americans']",https://www.nytimes.com/2020/09/15/us/inside-a-nursing-home-devoted-to-treating-those-with-covid-19.html,nyt://article/b2569801-c48e-5d19-bdbc-d51d5c4f16a1,By Isadora Kosofsky
Here Are 20 Shows to Watch This Fall,2020-09-04,article,News,Arts&Leisure,Arts,['Television'],https://www.nytimes.com/2020/09/04/arts/television/what-to-watch-tv-shows.html,nyt://article/52bb2f08-feec-5ba0-a018-a58b76d5e311,By Mike Hale
Lawsuit Demands Sign Language at White House Virus Briefings,2020-08-04,article,News,Express,U.S.,"['Coronavirus (2019-nCoV)', 'Deafness', 'Sign Language', 'Language and Languages', 'Suits and Litigation (Civil)', 'Translation and Interpreters', 'United States Politics and Government']",https://www.nytimes.com/2020/08/04/us/politics/asl-interpreter-lawsuit-coronavirus-trump.html,nyt://article/3cb3f850-82fb-54b0-91ff-9e8d8ec6d5c9,By Aimee Ortiz
‘Nothing About Us Without Us’: 16 Moments in the Fight for Disability Rights,2020-07-22,article,News,SpecialSections,U.S.,"['Disabilities', 'Civil Rights and Liberties', 'Suits and Litigation (Civil)', 'AMERICANS WITH DISABILITIES ACT', 'Demonstrations, Protests and Riots', 'Mental Health and Disorders']",https://www.nytimes.com/2020/07/22/us/ada-disabilities-act-history.html,nyt://article/b87eb307-fda1-5fda-83c7-701dc80fd02f,By Julia Carmel
What It’s Like to Enter the Work Force From Your Childhood Bedroom,2020-07-08,article,News,Express,Business Day,"['Coronavirus (2019-nCoV)', 'Telecommuting', 'Labor and Jobs', 'Colleges and Universities', 'Quarantines', 'Generation Z']",https://www.nytimes.com/2020/07/08/business/work-from-home-jobs-coronavirus.html,nyt://article/8e8e1ac7-f390-580b-8218-0d3fb1b435fa,By Bryan Pietsch
‘I Need People to Hear My Voice’: Teens Protest Racism,2020-06-23,article,News,Express,U.S.,"['Black Lives Matter Movement', 'George Floyd Protests (2020)', 'Discrimination', 'Black People', 'Blacks', 'Race and Ethnicity', 'Education (K-12)', 'Police Brutality, Misconduct and Shootings', 'Children and Childhood', 'Racial Profiling', 'Teenagers and Adolescence']",https://www.nytimes.com/2020/06/23/us/teens-protest-black-lives-matter.html,nyt://article/8658b64a-22d4-5fb1-9982-050d0b63bf71,By Mihir Zaveri
Older Adults May Be Left Out of Some Covid-19 Trials,2020-06-19,article,News,Science,Health,"['Clinical Trials', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Elderly', 'your-feed-science', 'your-feed-health', 'Drugs (Pharmaceuticals)']",https://www.nytimes.com/2020/06/19/health/vaccine-trials-elderly.html,nyt://article/2c351df3-6fe6-5d75-835d-e48e9b0b5a98,By Paula Span
How Architecture Could Help Us Adapt to the Pandemic,2020-06-10,multimedia,Interactive Feature,Magazine,Magazine,"['Coronavirus (2019-nCoV)', 'Workplace Environment', 'ARCHITECTURE']",https://www.nytimes.com/interactive/2020/06/09/magazine/architecture-covid.html,nyt://interactive/e6694730-c72a-5173-ab0c-42d4c4e795f4,By Kim Tingley
"For the Deaf, Social Distancing Can Mean Social Isolation",2020-06-04,article,News,Express,U.S.,"['Deafness', 'Blindness', 'Sign Language', 'Senses and Sensation', 'Masks', 'Protective Clothing and Gear', 'Anxiety and Stress', 'Coronavirus (2019-nCoV)', 'Quarantines']",https://www.nytimes.com/2020/06/04/us/coronavirus-deaf-culture-challenges.html,nyt://article/d88352c6-cfe3-5f1c-bebd-a1bcc8fa2c1d,By Derrick Bryson Taylor
