headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Patterns: Children With Hearing Loss Spend More Time in E.R.,2007-11-20,article,News,Science,Health,"['Accidents and Safety', 'Children and Youth', 'Medicine and Health', 'Ears and Hearing', 'Hospitals', 'Deafness']",https://www.nytimes.com/2007/11/20/health/research/20patt.html,nyt://article/00036c3c-4291-5898-85f2-aa9cf35c8b3b,By Eric Nagourney
STACEY CHAPMAN ENGAGED TO WED,1988-01-10,article,News,Society Desk,Style,['Weddings and Engagements'],https://www.nytimes.com/1988/01/10/style/stacey-chapman-engaged-to-wed.html,nyt://article/0020b9a3-13c0-5e5c-b6fc-6f563f8bdc31,
New Plan for Hearing-Aid Users,1995-11-27,article,News,National Desk,U.S.,"['Deafness', 'Hearing Aids', 'Telephones and Telecommunications']",https://www.nytimes.com/1995/11/27/us/new-plan-for-hearing-aid-users.html,nyt://article/004e24e1-e502-51c0-a8ce-04895908c194,AP
"M. McClelland, 53; Helped Experiments In Theater and Arts",1993-09-22,article,Obituary; Biography,Obituary,Obituaries,"['Biographical Information', 'DEATHS']",https://www.nytimes.com/1993/09/22/obituaries/m-mcclelland-53-helped-experiments-in-theater-and-arts.html,nyt://article/00742127-b642-510b-a474-a05476c54752,By Kathleen Teltsch
"THE HARD-OF-HEARING LIKE THE THEATER, TOO",1983-08-13,article,Letter,Editorial Desk,Opinion,['TERMS NOT AVAILABLE'],https://www.nytimes.com/1983/08/13/opinion/l-the-hard-of-hearing-like-the-theater-too-097540.html,nyt://article/007e25b1-b68b-5bc6-ada2-350415d9d35b,
TV: Here's the Kiddie‐Market Entry,1977-09-15,article,Archives,None,Archives,[],https://www.nytimes.com/1977/09/15/archives/tv-heres-the-kiddiemarket-entry.html,nyt://article/007fc132-b785-528f-8963-b5f4ebf2ab67,By John J. O'Connor
About Education,1979-03-20,article,Archives,None,Archives,"['Colleges and Universities', 'SPECIAL EDUCATION (FOR THE BLIND, HANDICAPPED, ETC)']",https://www.nytimes.com/1979/03/20/archives/about-education-colleges-seek-to-meet-needs-of-handicapped.html,nyt://article/00a73aaf-0717-5760-b9b0-e4c454bcffb2,By Fred M. Hechinger
Gretchen Whitmer: What if Trump Made Everyone Wear Masks?,2020-07-22,article,Op-Ed,OpEd,Opinion,"['Masks', 'States (US)', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']",https://www.nytimes.com/2020/07/22/opinion/gretchen-whitmer-trump-coronavirus-masks.html,nyt://article/00ad0ddc-3612-5b31-9356-b11b9784abef,By Gretchen Whitmer
"Review: ""All Governments Lie"" and The Best of I.F. Stone - Arts & Leisure - International Herald Tribune",2006-09-29,article,News,IHT News,Arts,[],https://www.nytimes.com/2006/09/29/arts/29iht-idbriefs30A.2978125.html,nyt://article/00ae866c-696d-5380-a3e2-5a8a6ea5fe54,By Paul Berman
"‘I Took a Folding Chair, a Book and a Glass of Wine Up to the Roof’",2019-09-08,article,News,Metropolitan,New York,[],https://www.nytimes.com/2019/09/08/nyregion/metropolitan-diary.html,nyt://article/00e2ce6c-9134-5646-983a-c33ba98dc143,
Smaller - and Smarter - Hearing Aids,1987-06-14,article,News,Financial Desk,Business Day,"['Deafness', 'Hearing Aids', 'Ears and Hearing']",https://www.nytimes.com/1987/06/14/business/whats-new-in-the-hearing-business-smaller-and-smarter-hearing-aids.html,nyt://article/0134dd9d-37a2-59fa-b775-9c938e15424a,By Stacey Okun
F.Y.I.,1998-11-01,article,Question,The City Weekly Desk,New York,"['Traffic Signals and Signs', 'Deafness', 'Automobile Racing', 'Sign Language']",https://www.nytimes.com/1998/11/01/nyregion/fyi-600466.html,nyt://article/017da040-7e74-59b6-b9dd-a616812e32c4,By Daniel B. Schneider
"Fred O'Green, 77, Shaped Litton Into Leading Defense Contractor",1998-10-25,article,Obituary; Biography,Business/Financial Desk,Business Day,"['Biographical Information', 'Deaths (Obituaries)']",https://www.nytimes.com/1998/10/25/business/fred-o-green-77-shaped-litton-into-leading-defense-contractor.html,nyt://article/018fff99-3d62-57ca-9e2a-b5988c36408b,By Joseph B. Treaster
"Albert S. Menasco, 91, Plane Engine Designer",1988-11-24,article,Obituary,Obituary,Obituaries,['DEATHS'],https://www.nytimes.com/1988/11/24/obituaries/albert-s-menasco-91-plane-engine-designer.html,nyt://article/01d1b1b4-81a9-5370-8bbd-4db20994e698,
Trenton Topics,1977-08-02,article,Archives,None,Archives,"['DEAFNESS AND DEAF-MUTES', 'Automobile Insurance and Liability']",https://www.nytimes.com/1977/08/02/archives/trenton-topics-insurer-of-15-million-cars-gets-increase-of-144.html,nyt://article/01de27a7-756a-5174-89f6-f95ca0b8e347,By Walter H. Waggoner;Special to The New York Times
ALFRED RATHHEIM,1987-09-11,article,Obituary,Obituary,Obituaries,['DEATHS'],https://www.nytimes.com/1987/09/11/obituaries/alfred-rathheim.html,nyt://article/0214081b-b816-5eef-85b9-94d95836897b,
Smaller Military Hospitals Said to Put Patients at Risk,2014-09-02,article,News,National,U.S.,"['United States Defense and Military Forces', 'Hospitals', 'Health Insurance and Managed Care', 'Veterans', 'Series', 'Malpractice']",https://www.nytimes.com/2014/09/02/us/smaller-military-hospitals-said-to-put-patients-at-risk.html,nyt://article/0244cc6f-1cb9-5028-b0fd-1b31ff72d7c9,By Sharon LaFraniere and Andrew W. Lehren
Decreasing Our Word Power: The New Newspeak,1991-01-27,article,News,Book Review Desk,Books,"['Language and Languages', 'Books and Literature']",https://www.nytimes.com/1991/01/27/books/decreasing-our-word-power-the-new-newspeak.html,nyt://article/02fe7bd4-b419-5217-bf83-a649ba86afd3,By Walter Goodman
"What the City Folk Do, And Drama, Too",2005-03-27,article,News,Westchester Weekly Desk,New York,"['Education and Schools', 'Children and Youth', 'Theater']",https://www.nytimes.com/2005/03/27/nyregion/cross-westchester-what-the-city-folk-do-and-drama-too.html,nyt://article/03269703-8d32-5454-afd8-630fae055425,By Debra West
A Valuable Guide to Successful Aging,1998-04-14,article,News,Science Desk,Science,"['Books and Literature', 'AGED', 'Research']",https://www.nytimes.com/1998/04/14/science/personal-health-a-valuable-guide-to-successful-aging.html,nyt://article/034ecee6-075e-536e-b7f4-b6aab73a875c,By Jane E. Brody
Gallaudet University Installs Deaf President,1988-10-23,article,News,National Desk,U.S.,"['Appointments and Executive Changes', 'Deafness']",https://www.nytimes.com/1988/10/23/us/gallaudet-university-installs-deaf-president.html,nyt://article/034f7b6c-7092-57ec-91bf-38b1f78e6a84,AP
