headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Praise the Marines? I Suppose So.,1992-12-28,article,Op-Ed,Editorial Desk,Opinion,"['Famine', 'UNITED STATES ARMAMENT AND DEFENSE', 'United States International Relations']",https://www.nytimes.com/1992/12/28/opinion/praise-the-marines-i-suppose-so.html,nyt://article/007878fc-e850-58e5-aaba-ee6dd5b913d7,By Nuruddin Farah
Handmaiden to a Maestro and Midwife to His Symphony,2006-11-10,article,Review,Weekend,Movies,['MOTION PICTURES'],https://www.nytimes.com/2006/11/10/movies/10beet.html,nyt://article/01a6da21-4866-5461-93de-d9abc3d2a68c,By Manohla Dargis
OUTDOORS: SECOND SHOT AT TURKEYS,1987-04-06,article,News,Sports Desk,Sports,"['Hunting and Trapping', 'Turkeys']",https://www.nytimes.com/1987/04/06/sports/outdoors-second-shot-at-turkeys.html,nyt://article/023a1797-86d4-582d-add4-674c7530a5c2,By Nelson Bryant
The Sound of Things to Come,2003-03-23,article,News,Magazine Desk,Magazine,"['ACOUSTICS', 'Biographical Information', 'Helicopters', 'Inventions and Patents']",https://www.nytimes.com/2003/03/23/magazine/the-sound-of-things-to-come.html,nyt://article/07479505-d556-51f3-93f9-d74863fad29e,By Marshall Sella
"Under Any Name, a Novelist Gone and Forgotten",2001-03-22,article,Review,The Arts/Cultural Desk,Books,"['Reviews', 'Books and Literature', 'Biographical Information']",https://www.nytimes.com/2001/03/22/books/books-of-the-times-under-any-name-a-novelist-gone-and-forgotten.html,nyt://article/0c07be70-1000-515a-b844-f3f6b061ad83,By Janet Maslin
Don't Throw Your Old Suits Away,1979-04-06,article,Archives,None,Archives,"['Baseball', 'Umpires', 'Baseball']",https://www.nytimes.com/1979/04/06/archives/dont-throw-your-old-suits-away-sports-of-the-times.html,nyt://article/13202f43-d54c-5736-bc4d-db82d64b3d51,
The King Recovers From Defeat,1996-12-06,article,News,Sports Desk,Sports,"['Biographical Information', 'Elections', 'Automobile Racing', 'Awards, Decorations and Honors']",https://www.nytimes.com/1996/12/06/sports/the-king-recovers-from-defeat.html,nyt://article/1567c2e4-ccca-536c-bf90-aba5162888d5,By Ira Berkow
"John Paul, His Life and Message",2003-10-14,article,Letter,Editorial Desk,Opinion,['Nobel Prizes'],https://www.nytimes.com/2003/10/14/opinion/l-john-paul-his-life-and-message-677140.html,nyt://article/1ddd8da7-bb8d-5183-9f4f-c2333dc46509,
"HERE, SMALL STEPS OF HOPE",1988-02-21,article,News,Long Island Weekly Desk,New York,"['Education and Schools', 'Special Education (Handicapped)']",https://www.nytimes.com/1988/02/21/nyregion/about-long-island-here-small-steps-of-hope.html,nyt://article/22412f87-3e82-53a5-bdd2-71aeb1f3126a,By Fred McMorrow
"The Many Faces Of Goya, In Miniature",1994-05-22,article,Review,Arts & Leisure Desk,Arts,"['Reviews', 'Biographical Information', 'SHOWS (EXHIBITS)', 'Art']",https://www.nytimes.com/1994/05/22/arts/art-view-the-many-faces-of-goya-in-miniature.html,nyt://article/22759c50-4706-52b6-8b37-8719985f18e1,By Michael Kimmelman
"The Really, Really Big Sound",1996-11-17,article,News,Long Island Weekly Desk,New York,['Music'],https://www.nytimes.com/1996/11/17/nyregion/the-really-really-big-sound.html,nyt://article/235cedcd-1e40-500b-aa61-7042974b2b3b,By David Bouchier
Leaders Vie To Cut Taxes In New Jersey,1991-11-08,article,News,Metropolitan Desk,New York,"['Taxation', 'ELECTION ISSUES', 'Income Tax', 'Property Taxes', 'Elections', 'LEGISLATURES']",https://www.nytimes.com/1991/11/08/nyregion/leaders-vie-to-cut-taxes-in-new-jersey.html,nyt://article/24fab3d1-62d2-5b19-a64f-54f6ba026e3d,By Wayne King
On Language; Geezer Power,1981-09-27,article,News,Magazine Desk,Magazine,"['Language and Languages', 'English Language']",https://www.nytimes.com/1981/09/27/magazine/on-language-geezer-power.html,nyt://article/27a0f196-4290-5565-915d-a779f3727f4d,By William Safire
The Untrue-to-Life Adventures of a D.J. Who Goes Deaf,2005-04-15,article,Review,"Movies, Performing Arts/Weekend Desk",Arts,"['MOTION PICTURES', 'Reviews']",https://www.nytimes.com/2005/04/15/movies/the-untruetolife-adventures-of-a-dj-who-goes-deaf.html,nyt://article/2810463b-f195-5204-831c-08087a87e8fa,By Manohla Dargis
The Pursuit of Happiness,1976-07-04,article,Archives,None,Archives,"['Social Conditions and Trends', 'Earthquakes']",https://www.nytimes.com/1976/07/04/archives/the-pursuit-of-happiness-the-good-life.html,nyt://article/2979c9a8-0ed5-580b-82e7-c6de16ccc4ee,By Ted Morgan
JET LAG,1983-06-12,article,Letter,Travel Desk,Travel,"['Diet and Nutrition', 'AIRPLANES']",https://www.nytimes.com/1983/06/12/travel/l-jet-lag-224992.html,nyt://article/2b16c17c-7460-54f5-91c5-3a8ca02ba3ce,
A world of non‐verbal communication and creative silence,1970-09-27,article,Archives,None,Archives,"['DEAFNESS AND DEAF-MUTES', 'BOOK REVIEWS']",https://www.nytimes.com/1970/09/27/archives/a-world-of-nonverbal-communication-and-creative-silence.html,nyt://article/2db4f9e6-7322-5bc1-a368-dda95a63d5fb,By Chaim Potok
"Life's Tragic, but Julie Hagerty's Funny",1992-04-12,article,Biography,Arts & Leisure Desk,Movies,"['MOTION PICTURES', 'Biographical Information']",https://www.nytimes.com/1992/04/12/movies/film-life-s-tragic-but-julie-hagerty-s-funny.html,nyt://article/2e125b22-41bc-5909-a757-02b3fbc74c7e,By Andy Meisler
The Editorial Notebook; Who Will Help Andres Delgado?,1984-07-30,article,Editorial,Editorial Desk,Opinion,"['STATE AND LOCAL AID (US)', 'Mental Health and Disorders', 'Hospitals']",https://www.nytimes.com/1984/07/30/opinion/the-editorial-notebook-who-will-help-andres-delgado.html,nyt://article/2e40784b-053d-5fad-bbfe-bcfe2e13d42e,DAVID C. ANDERSON
Taking the Plunge With a New Dog,2009-07-20,article,News,Home,Home & Garden,"['Families and Family Life', 'Dogs']",https://www.nytimes.com/2009/07/22/garden/pupblog.html,nyt://article/309b6d73-dfd3-5004-9560-1e6a7f7e3153,By Jill Abramson
TWO BY SHAFFER MISS THE MARK,1985-02-10,article,Review,Connecticut Weekly Desk,New York,"['Reviews', 'Theater']",https://www.nytimes.com/1985/02/10/nyregion/two-by-shaffer-miss-the-mark.html,nyt://article/3bca5f12-aed9-51b2-8e10-388e045123f1,By Alvin Klein
Paperbacks,1974-08-11,article,Archives,None,Archives,[],https://www.nytimes.com/1974/08/11/archives/paperbacks-red-rackhams-treasure-the-secret-of-the-unicorn-the.html,nyt://article/3c60858d-c1ce-5d44-9527-f0bf000a6202,By Sherwin D. Smith
Screen: Song 'Remains the Same':Zeppelin's Rock Pulverizes Eardrums at Cinema I,1976-10-21,article,Review,,Archives,['MOTION PICTURES'],https://www.nytimes.com/1976/10/21/archives/screen-song-remains-the-samezeppelins-rock-pulverizes-eardrums-at.html,nyt://article/3e4d2fdf-a6db-5fe6-a160-2b0530e5e52e,By Richard Eder
Books of The Times; A Stone Wall and an Obsession,1989-07-03,article,Review,Cultural Desk,Books,['BOOK REVIEWS'],https://www.nytimes.com/1989/07/03/books/books-of-the-times-a-stone-wall-and-an-obsession.html,nyt://article/401237a2-8e5c-52d4-8ebe-d42c70cf2ca7,By Christopher Lehmann-Haupt
A PESSIMIST IN THE COSMOS,1987-09-20,article,Review,Book Review Desk,Books,['BOOK REVIEWS'],https://www.nytimes.com/1987/09/20/books/a-pessimist-in-the-cosmos.html,nyt://article/495c100d-47fb-5098-9494-3d95acd8d203,By Robert Finch
"John Paul, His Life and Message (6 Letters)",2003-10-14,article,News,Opinion,Opinion,[],https://www.nytimes.com/2003/10/14/opinion/john-paul-his-life-and-message-6-letters.html,nyt://article/4ef519f8-fc82-5ee8-9037-9138d5899aa8,
