headline,date,doc_type,material_type,news_desk,section,keywords,url,id,byline
Letters to the Editor,2015-08-29,article,Letter,Sports,Sports,"['Baseball', 'ALLIGATORS', 'Deaths (Obituaries)']",https://www.nytimes.com/2015/08/30/sports/letters-to-the-editor.html,nyt://article/001453eb-e2c0-5a55-9de0-7de708e4de26,
Family’s Continued Defense of Joe Paterno Is a Painful One,2016-05-06,article,News,Sports,Sports,"['Football (College)', 'Child Abuse and Neglect', 'Sex Crimes', 'Coaches and Managers']",https://www.nytimes.com/2016/05/07/sports/ncaafootball/painful-defense-of-joe-paterno-in-jerry-sandusky-case.html,nyt://article/00228a8d-9847-546d-a053-6f5bcdda018b,By Juliet Macur
Bud Light Withdraws Slogan After It Draws Ire Online,2015-04-28,article,News,Business,Business Day,"['Beer', 'Labeling and Labels (Product)', 'Women and Girls', 'Sex Crimes', 'ADVERTISING AND MARKETING', 'Social Media']",https://www.nytimes.com/2015/04/29/business/bud-light-withdraws-slogan-after-it-draws-ire-online.html,nyt://article/0041aeb1-8800-5306-a932-4cfd37765f7d,By Stephanie Strom
Militant Threats Test Role of a Pentagon Command in Africa,2013-02-12,article,News,Foreign,World,"['United States Defense and Military Forces', 'United States International Relations']",https://www.nytimes.com/2013/02/12/world/africa/militant-threats-test-pentagons-role-in-africa.html,nyt://article/0083f18b-c2db-5750-b922-712f0c6ac028,By Eric Schmitt
How a Clear Strategy Got Muddy Results,2002-07-12,article,News,Business/Financial Desk,Business Day,"['ACCOUNTING AND ACCOUNTANTS', 'United States Politics and Government', 'Executives and Management', 'Suits and Litigation', 'Ethics', 'Law and Legislation', 'Stocks and Bonds', 'Regulation and Deregulation of Industry']",https://www.nytimes.com/2002/07/12/business/corporate-conduct-white-house-memo-how-a-clear-strategy-got-muddy-results.html,nyt://article/008f036e-68e3-536e-b6e7-66c2ad232de4,By David E. Sanger
"Review/Film; An Odyssey Southward With Coffin, Occupied",1992-04-24,article,Review,Weekend Desk,Movies,['MOTION PICTURES'],https://www.nytimes.com/1992/04/24/movies/review-film-an-odyssey-southward-with-coffin-occupied.html,nyt://article/01131cf6-3a80-5886-8c07-feadee2d4234,By Stephen Holden
"The March for Science: Why Some Are Going, and Some Will Sit Out",2017-04-17,article,News,Science,Science,"['United States Politics and Government', 'Science and Technology', 'Demonstrations, Protests and Riots', 'Earth Day', 'Research']",https://www.nytimes.com/2017/04/17/science/march-for-science-voices.html,nyt://article/01247c45-b387-583c-984e-95cabe91c13b,By Michael Roston
Manhattan Mail Sorters Fear They Will Be Next,2001-10-25,article,News,Metropolitan Desk,New York,"['Biological and Chemical Warfare', 'World Trade Center (NYC)', 'AIRLINES AND AIRPLANES', 'ANTHRAX', 'Hijacking', 'Postal Service', 'Tests and Testing', 'Terrorism']",https://www.nytimes.com/2001/10/25/nyregion/nation-challenged-postal-workers-manhattan-mail-sorters-fear-they-will-be-next.html,nyt://article/012e61df-c463-5432-9c36-4f01fbdafdca,By Steven Greenhouse
Declare a Palestinian State,2010-02-23,article,Op-Ed,Editorial,Opinion,['Palestinians'],https://www.nytimes.com/2010/02/24/opinion/24iht-edsegal.html,nyt://article/01310276-0cd5-565c-a2b9-02ace51eaa97,By Jerome M. Segal
"New Aide, New Direction: Answers From Matt Bai, Part I",2010-09-22,article,,,U.S.,[],https://thecaucus.blogs.nytimes.com/2010/09/22/new-aide-new-direction-answers-from-matt-bai-part-i/,nyt://article/013c928a-3b90-5573-9575-8c112431680b,By The New York Times
